Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1DoBPOlB884EHiftB46QGx,"1VPmR4DJC1PlOtd0IADAO0","All Dogs Go to Heaven","Stop Staring At the Shadows","$uicideboy$",2020-02-14,153652,60,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:25Z,"cloud rap,dark trap,new orleans rap,underground hip hop",0.884,0.903,6,-3.672,0,0.2,0.274,0.00037,0.302,0.839,75.022,4
2kwGrUme2JTUvF5Zf91Ocj,"1VPmR4DJC1PlOtd0IADAO0","I Wanna Be Romanticized","Stop Staring At the Shadows","$uicideboy$",2020-02-14,133746,56,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:25Z,"cloud rap,dark trap,new orleans rap,underground hip hop",0.69,0.39,6,-8.96,0,0.127,0.0686,0,0.0501,0.135,79.003,4
5pVZABS2GkOJf7adB3b2al,"1VPmR4DJC1PlOtd0IADAO0","One Last Look at the Damage","Stop Staring At the Shadows","$uicideboy$",2020-02-14,97671,56,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:25Z,"cloud rap,dark trap,new orleans rap,underground hip hop",0.832,0.757,11,-3.254,0,0.196,0.243,0,0.171,0.59,149.98,4
5LYjGMfcITu0nse2enQFPL,"1VPmR4DJC1PlOtd0IADAO0","Fuck Your Culture","Stop Staring At the Shadows","$uicideboy$",2020-02-14,102060,56,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:26Z,"cloud rap,dark trap,new orleans rap,underground hip hop",0.755,0.763,1,-1.015,1,0.243,0.0175,0,0.689,0.621,80.015,4
30QR0ndUdiiMQMA9g1PGCm,"1VPmR4DJC1PlOtd0IADAO0","...And to Those I Love, Thanks for Sticking Around","Stop Staring At the Shadows","$uicideboy$",2020-02-14,168489,77,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:26Z,"cloud rap,dark trap,new orleans rap,underground hip hop",0.792,0.511,2,-6.876,1,0.0409,0.124,0.0000904,0.14,0.111,113.983,4
791YTMSeD7SPGWHLIe61ew,"1ZwdS5xdxEREPySFridCfh","Brenda's Got A Baby","2Pacalypse Now","2Pac",1991-11-12,233466,50,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:26Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.67,0.496,5,-14.029,0,0.0907,0.0275,0,0.104,0.713,166.758,4
7dFKP3k84m9SIghZFM2e7P,"09hVIj6vWgoCDtT03h8ZCa,5NDMothbpdpq2xHqSjrrWn","Stressed Out (feat. Faith Evans)","The Anthology","A Tribe Called Quest,Faith Evans",1999-10-26,293026,30,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:27Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop,contemporary r&b,hip pop,r&b,urban contemporary",0.753,0.534,7,-8.38,1,0.231,0.244,0,0.0832,0.707,91.917,4
2ZSFJb8xXAfcNa9uZIdOqg,"09hVIj6vWgoCDtT03h8ZCa","Oh My God","The Anthology","A Tribe Called Quest",1999-10-26,205506,28,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:27Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop",0.842,0.664,11,-8.27,1,0.298,0.0501,0.0823,0.11,0.704,94.656,4
4tnbcPfOSZq5VAU67XxIdN,"09hVIj6vWgoCDtT03h8ZCa","We Can Get Down","Midnight Marauders","A Tribe Called Quest",1993-11-09,259120,45,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:28Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop",0.78,0.626,7,-9.99,1,0.198,0.0574,0.012,0.501,0.667,93.945,4
2wS1PObRyCywHdmog5eOWW,"09hVIj6vWgoCDtT03h8ZCa,1YypK4ExBm4UY1TRAOur8M,2WSnJlJ0uGTjye4jGSN1GG,7fDLDq2weBagiAFD2j17Al","Show Business (feat. Diamond D, Lord Jamar & Sadat X)","The Low End Theory","A Tribe Called Quest,Diamond D,Lord Jamar,Sadat X",1991-09-24,233440,45,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:28Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop,bronx hip hop",0.886,0.591,10,-12.322,0,0.254,0.255,0,0.213,0.828,101.623,4
203xmWRHAyqwW6AkGkhhVM,"09hVIj6vWgoCDtT03h8ZCa","The Space Program","We got it from Here... Thank You 4 Your service","A Tribe Called Quest",2016-11-11,341040,43,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:28Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop",0.516,0.706,1,-5.898,1,0.359,0.428,0,0.658,0.533,101.697,4
3wUX7HpXS382s1DHTRouVk,"09hVIj6vWgoCDtT03h8ZCa","We The People....","We got it from Here... Thank You 4 Your service","A Tribe Called Quest",2016-11-11,172013,50,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:29Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop",0.709,0.805,1,-5.471,1,0.0638,0.00925,0,0.141,0.897,92.601,4
3z40poMPmOkS6799tbXGKz,"09hVIj6vWgoCDtT03h8ZCa,5KkgZ31b9eDwkvo9oMIrSm","Whateva Will Be (feat. Consequence)","We got it from Here... Thank You 4 Your service","A Tribe Called Quest,Consequence",2016-11-11,172760,45,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:29Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop,nyc rap",0.829,0.604,5,-6.124,0,0.32,0.253,0.0000116,0.641,0.695,92.645,4
5OzOQRssjhxaBj0xd78Z2w,"09hVIj6vWgoCDtT03h8ZCa,1YfEcTuGvBQ8xSD1f53UnK,4FZ3j1oH43e7cukCALsCwf,3PhoLpVuITZKcymswpck5b","Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John)","We got it from Here... Thank You 4 Your service","A Tribe Called Quest,Busta Rhymes,Jack White,Elton John",2016-11-11,223346,43,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:30Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop,hardcore hip hop,pop rap,rap,alternative rock,blues rock,garage rock,garage rock revival,indie rock,modern blues rock,modern rock,punk blues,rock,glam rock,mellow gold,piano rock",0.669,0.684,9,-6.053,0,0.401,0.311,0.000267,0.181,0.473,146.042,4
2Pp3QD3thPnk2kCxmu2MHK,"09hVIj6vWgoCDtT03h8ZCa,1YfEcTuGvBQ8xSD1f53UnK","Dis Generation (feat. Busta Rhymes)","We got it from Here... Thank You 4 Your service","A Tribe Called Quest,Busta Rhymes",2016-11-11,213373,44,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:30Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop,hardcore hip hop,pop rap,rap",0.739,0.79,2,-5.307,1,0.103,0.0669,0,0.352,0.652,96.054,4
3awU4bBZTmisGbeJJ4xb3c,"09hVIj6vWgoCDtT03h8ZCa,74V3dE1a51skRkdII8y2C6","Kids... (feat. Andre 3000)","We got it from Here... Thank You 4 Your service","A Tribe Called Quest,André 3000",2016-11-11,228480,38,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:30Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop,atl hip hop,dirty south rap,southern hip hop",0.837,0.521,1,-6.215,1,0.196,0.0206,0.000592,0.327,0.793,94.998,4
